"Code","Date","Observed","Suggested","Anomaly (std.devs.)"
"E03","2017-02-01",75.5,80.7,-3.78
"E03","2017-03-01",77.8,84.6,-3.83
"E05","2017-03-01",85,79.7,3.38
"E07","2015-11-01",66.5,91.3,-3.68
"E07","2015-12-01",51.2,88,-3.84
"E09","2015-12-01",87.9,79.7,3.04
